,location,total_sqft,bath,price,bhk,encoded_loc
3103,Sarjapura - Attibele Road,1676.0,3,52.0,3,209
3104,Uttarahalli,1137.0,2,63.0,2,230
3105,Electronic City,1360.0,2,70.5,3,79
3106,others,1374.0,2,70.0,3,245
3107,Judicial Layout,1700.0,3,155.0,3,122
3108,Whitefield,3227.0,5,250.0,5,239
3109,others,2145.0,4,125.0,4,245
3110,Kasavanhalli,2170.0,3,151.0,3,139
3111,others,1080.0,2,55.0,2,245
3112,Electronic City Phase II,1790.0,3,100.0,3,80
3113,Doddathoguru,550.0,1,17.0,1,74
3114,Somasundara Palya,1033.0,2,48.0,2,216
3115,others,1000.0,2,80.0,2,245
3116,others,1240.0,2,52.6,2,245
3117,others,1500.0,2,97.0,3,245
3118,Marathahalli,1730.0,3,139.0,3,170
3119,Kasavanhalli,1915.0,3,80.0,3,139
3120,Whitefield,1545.0,3,79.0,3,239
3121,others,1865.0,4,140.0,3,245
3122,Hebbal Kempapura,1150.0,2,40.0,2,100
3123,others,1200.0,2,49.0,2,245
3124,Kengeri,963.0,2,40.0,2,144
3125,Marsur,1200.0,3,120.0,3,172
3126,Basavangudi,2600.0,4,260.0,4,39
3127,Kaikondrahalli,1700.0,4,108.0,4,128
3128,Lingadheeranahalli,1682.0,3,120.0,3,163
3129,Yelahanka,1371.0,2,65.0,3,241
3130,Hennur Road,901.0,2,49.5,2,103
3131,Ambalipura,1730.0,3,120.0,3,14
3132,Konanakunte,1200.0,4,125.0,4,152
3133,EPIP Zone,1500.0,3,102.0,3,78
3134,others,3500.0,4,245.0,4,245
3135,others,1203.0,2,59.86,2,245
3136,Horamavu Banaswadi,1357.0,2,54.0,2,106
3137,others,1600.0,3,76.0,3,245
3138,Yelahanka New Town,350.0,1,13.5,1,242
3139,Varthur,1665.0,3,53.0,3,231
3140,Sarjapur  Road,835.0,1,46.95,1,208
3141,Haralur Road,1444.0,2,80.0,3,97
3142,Kanakapura,1277.0,2,55.0,2,135
3143,Lingadheeranahalli,1521.0,3,94.71,3,163
3144,others,1134.0,2,40.0,2,245
3145,Vasanthapura,995.0,2,34.82,2,233
3146,Marathahalli,1325.0,1,92.0,2,170
3147,Kothanur,4000.0,6,150.0,6,155
3148,Marathahalli,1525.0,3,90.0,3,170
3149,others,1320.0,2,73.0,3,245
3150,Electronics City Phase 1,650.0,1,23.0,1,81
3151,Old Airport Road,1858.0,2,167.0,3,188
3152,Electronic City,1150.0,2,38.0,2,79
3153,Electronic City Phase II,769.0,2,40.0,2,80
3154,Electronic City,1571.0,3,105.0,3,79
3155,Hennur Road,1445.0,3,86.56,3,103
3156,Hosur Road,1590.0,2,135.0,3,111
3157,Bommasandra,902.0,2,49.0,2,52
3158,Sarjapur,2238.0,3,140.0,3,207
3159,Electronic City,1090.0,2,31.49,2,79
3160,Yelahanka,1712.0,3,82.0,3,241
3161,Haralur Road,1088.0,2,68.0,2,97
3162,Somasundara Palya,1575.0,3,63.1,3,216
3163,others,2150.0,6,205.0,6,245
3164,Kundalahalli,1920.0,3,150.0,3,159
3165,Margondanahalli,1000.0,2,57.0,2,171
3166,others,1100.0,2,56.1,2,245
3167,Electronic City,1089.0,2,45.0,2,79
3168,Horamavu Agara,1106.0,2,43.09,2,105
3169,Kengeri,927.0,2,37.0,2,144
3170,Kanakpura Road,1339.0,2,58.0,2,136
3171,Thanisandra,923.0,1,45.69,1,223
3172,Sarjapur  Road,2900.0,3,285.0,3,208
3173,Lakshminarayana Pura,1175.0,2,75.0,2,162
3174,Thubarahalli,975.0,2,55.0,2,225
3175,Hebbal,2400.0,4,180.0,3,99
3176,Subramanyapura,1330.0,3,72.0,3,219
3177,Thanisandra,1183.0,2,59.74,2,223
3178,Harlur,1758.0,3,133.0,3,98
3179,Pai Layout,1100.0,2,50.0,2,191
3180,Ramamurthy Nagar,1170.0,2,46.8,2,202
3181,others,2400.0,5,120.0,5,245
3182,Raja Rajeshwari Nagar,1530.0,3,51.77,3,198
3183,Hebbal,1420.0,2,107.0,2,99
3184,Kanakpura Road,1591.0,3,115.0,3,136
3185,others,675.0,3,52.0,2,245
3186,Hoodi,1055.0,2,57.63,2,104
3187,Iblur Village,1918.0,3,129.0,3,115
3188,Sarjapur  Road,1280.0,2,76.0,2,208
3189,Nagarbhavi,1560.0,3,66.0,3,181
3190,Sarjapur  Road,1145.0,2,49.5,2,208
3191,others,1801.0,3,139.0,3,245
3192,Hebbal,1320.0,2,92.0,2,99
3193,others,1350.0,2,65.0,3,245
3194,others,2990.0,4,324.0,4,245
3195,Kalyan nagar,3800.0,5,300.0,4,131
3196,Bannerghatta Road,1344.0,2,42.0,3,38
3197,Bannerghatta Road,1893.0,3,100.0,3,38
3198,Chandapura,1107.0,2,43.0,3,59
3199,Lakshminarayana Pura,1190.0,2,75.0,2,162
3200,Whitefield,1000.0,2,35.0,2,239
3201,others,2400.0,2,160.0,2,245
3202,Kumaraswami Layout,1000.0,2,48.5,2,158
3203,Jalahalli,2113.0,3,155.0,3,119
3204,KR Puram,1100.0,2,46.0,2,123
3205,Harlur,1884.0,4,120.0,4,98
3206,Electronic City,1110.0,2,40.0,2,79
3207,others,1250.0,3,40.0,3,245
3208,Sarjapur  Road,1470.0,3,62.0,3,208
3209,others,1150.0,2,75.0,2,245
3210,Kudlu Gate,703.0,1,52.0,1,157
3211,others,1400.0,2,62.0,3,245
3212,Bellandur,1195.0,2,51.0,2,44
3213,others,1302.0,2,69.1,2,245
3214,Begur Road,1583.0,3,74.4,3,43
3215,others,1488.0,2,60.0,3,245
3216,Kammasandra,1385.0,2,34.63,3,134
3217,Whitefield,3262.0,4,260.0,4,239
3218,Electronic City,1600.0,3,104.0,3,79
3219,Old Airport Road,1150.0,2,90.0,2,188
3220,Sarjapur  Road,1263.0,2,78.0,2,208
3221,Kanakpura Road,1299.0,2,85.0,2,136
3222,Banashankari,1330.0,2,78.0,2,30
3223,Devanahalli,1282.0,2,52.43,3,70
3224,others,1853.0,3,82.0,3,245
3225,others,861.0,2,35.0,2,245
3226,Bannerghatta Road,1600.0,3,95.0,3,38
3227,others,1256.0,2,62.8,2,245
3228,others,1390.0,2,80.0,3,245
3229,others,1550.0,2,90.0,3,245
3230,Hebbal,919.0,2,49.0,2,99
3231,Margondanahalli,1625.0,3,80.0,3,171
3232,Gunjur,1195.0,2,44.0,2,91
3233,Yelenahalli,1159.0,2,60.0,2,243
3234,Whitefield,1386.0,3,57.46,3,239
3235,Harlur,1197.0,2,79.0,2,98
3236,Jigani,4303.5,2,226.0,4,121
3237,Bommasandra,1295.0,2,50.28,3,52
3238,others,1310.0,2,37.83,3,245
3239,Whitefield,1132.0,2,79.28,2,239
3240,Hebbal,1645.0,3,135.0,3,99
3241,Whitefield,1200.0,2,45.84,2,239
3242,Marathahalli,1937.0,3,140.0,3,170
3243,Doddathoguru,1015.0,2,33.5,2,74
3244,others,1080.0,2,39.0,2,245
3245,Kathriguppe,1350.0,2,80.99,3,141
3246,Kengeri Satellite Town,1149.0,2,29.0,3,145
3247,Kothanur,1185.0,2,59.0,2,155
3248,Domlur,1720.0,3,135.0,3,76
3249,Hebbal,2080.0,3,175.0,3,99
3250,Tindlu,1500.0,3,87.0,3,227
3251,Yelahanka,1566.0,3,97.0,3,241
3252,others,1500.0,4,110.0,4,245
3253,KR Puram,1290.0,2,49.02,2,123
3254,others,1531.0,3,72.0,3,245
3255,others,1839.0,3,165.0,3,245
3256,Whitefield,1140.0,2,39.0,2,239
3257,Tumkur Road,1343.5,3,57.76,3,228
3258,Banashankari Stage III,2000.0,4,100.0,4,32
3259,Kaval Byrasandra,1100.0,2,46.0,2,142
3260,others,1200.0,2,55.0,2,245
3261,Bannerghatta,1618.0,3,68.0,3,37
3262,Whitefield,2830.0,5,160.0,4,239
3263,Uttarahalli,1315.0,2,74.0,3,230
3264,Anandapura,1141.0,2,42.75,2,17
3265,AECS Layout,1080.0,2,55.0,2,11
3266,HBR Layout,1200.0,2,60.0,2,94
3267,Varthur,1111.0,2,41.88,2,231
3268,NGR Layout,1022.0,2,45.9,2,177
3269,Bannerghatta Road,1275.0,2,65.0,2,38
3270,others,900.0,2,70.0,2,245
3271,Rachenahalli,1224.0,2,39.2,2,197
3272,Battarahalli,1135.0,2,43.0,2,41
3273,Rachenahalli,1050.0,2,52.1,2,197
3274,Nagavarapalya,1392.0,2,130.0,2,184
3275,Bellandur,1050.0,2,72.0,2,44
3276,Hosa Road,1513.0,3,103.0,3,108
3277,Gottigere,1621.0,3,72.0,3,88
3278,Bannerghatta Road,892.0,2,39.0,2,38
3279,Whitefield,1205.0,2,40.0,2,239
3280,Kengeri,726.0,2,35.0,2,144
3281,others,1500.0,3,149.0,3,245
3282,Hebbal,3895.0,4,405.0,4,99
3283,Horamavu Agara,1079.0,2,41.0,2,105
3284,Begur Road,1170.0,2,46.0,2,43
3285,Doddathoguru,1104.0,2,39.0,2,74
3286,Kanakpura Road,950.0,2,45.0,2,136
3287,Hormavu,4818.0,4,390.0,4,107
3288,others,1650.0,2,52.0,3,245
3289,Kogilu,1559.0,3,127.0,3,151
3290,others,1100.0,2,38.0,2,245
3291,Benson Town,1750.0,3,150.0,3,45
3292,Ramagondanahalli,1215.0,2,45.5,2,201
3293,Talaghattapura,1868.0,3,135.0,3,222
3294,Electronic City,1130.0,2,32.63,2,79
3295,Sarjapur  Road,1691.0,3,98.0,3,208
3296,Ardendale,4355.0,3,350.0,5,21
3297,Hulimavu,1225.0,2,55.0,2,112
3298,JP Nagar,1690.0,3,112.0,3,117
3299,Kasturi Nagar,1896.0,3,125.0,4,140
3300,Sonnenahalli,605.0,1,40.0,1,218
3301,Electronic City Phase II,900.0,2,32.5,2,80
3302,others,750.0,2,50.0,1,245
3303,Ananth Nagar,908.0,2,26.0,2,18
3304,Thanisandra,3216.0,4,226.0,4,223
3305,BEML Layout,2400.0,4,225.0,5,24
3306,Iblur Village,1400.0,2,68.0,2,115
3307,Hulimavu,1255.0,2,74.0,2,112
3308,Electronic City,1500.0,2,100.0,3,79
3309,Thanisandra,1296.0,2,72.0,2,223
3310,Horamavu Banaswadi,925.0,2,38.0,2,106
3311,Raja Rajeshwari Nagar,1023.0,2,42.0,2,198
3312,Thanisandra,1020.0,2,44.5,2,223
3313,Choodasandra,1530.0,3,77.0,3,64
3314,Gubbalala,1650.0,3,71.0,3,90
3315,others,1605.0,2,85.0,3,245
3316,Hosakerehalli,1925.0,2,50.0,2,109
3317,Kogilu,1190.0,2,50.66,2,151
3318,Jakkur,1374.0,3,68.0,3,118
3319,6th Phase JP Nagar,1140.0,2,65.0,2,7
3320,Green Glen Layout,1725.0,3,130.0,3,89
3321,Bisuvanahalli,1075.0,2,50.0,3,50
3322,Kannamangala,1574.0,3,93.34,3,137
3323,Sanjay nagar,965.0,1,32.0,1,205
3324,Marathahalli,1550.0,3,83.0,3,170
3325,others,1205.0,2,60.0,2,245
3326,Kambipura,1082.0,2,55.0,3,132
3327,Uttarahalli,1215.0,2,52.85,3,230
3328,Hebbal,2483.0,5,230.0,4,99
3329,others,1200.0,3,46.14,2,245
3330,others,1500.0,1,19.5,1,245
3331,Ardendale,3198.0,4,250.0,4,21
3332,Kanakpura Road,1452.0,3,60.98,3,136
3333,Electronic City Phase II,1329.0,2,41.0,3,80
3334,others,1125.0,2,44.0,2,245
3335,others,1200.0,2,70.0,2,245
3336,Sarjapur  Road,1350.0,3,39.97,3,208
3337,Uttarahalli,1312.5,3,51.19,3,230
3338,Hebbal,2600.0,3,195.0,3,99
3339,Pai Layout,1255.0,2,80.0,2,191
3340,others,1904.0,3,155.0,3,245
3341,Somasundara Palya,1329.0,2,70.0,2,216
3342,Chandapura,1200.0,2,60.0,2,59
3343,Murugeshpalya,2135.0,3,160.0,3,175
3344,others,813.0,1,39.0,1,245
3345,others,3884.0,4,240.0,4,245
3346,Doddaballapur,3876.0,3,300.0,3,72
3347,Kalena Agrahara,800.0,2,30.0,2,129
3348,others,4750.0,2,120.0,4,245
3349,Hormavu,1500.0,3,70.0,3,107
3350,Bannerghatta Road,1880.0,3,95.0,3,38
3351,Electronic City,1440.0,2,55.0,3,79
3352,Akshaya Nagar,1575.0,3,90.0,3,13
3353,others,1630.0,2,97.78,3,245
3354,Yelahanka,1180.0,3,55.0,3,241
3355,others,1090.0,2,36.0,2,245
3356,others,2425.0,4,173.0,4,245
3357,Varthur,1097.0,2,33.82,2,231
3358,Raja Rajeshwari Nagar,1070.0,2,50.0,2,198
3359,Kumaraswami Layout,1000.0,2,58.0,2,158
3360,others,1150.0,2,56.0,2,245
3361,Frazer Town,1900.0,4,145.0,3,82
3362,others,1141.0,2,49.0,2,245
3363,Jigani,937.0,2,44.0,2,121
3364,Green Glen Layout,1075.0,2,60.0,2,89
3365,Panathur,1000.0,2,65.3,2,192
3366,Kasavanhalli,1450.0,3,77.41,3,139
3367,others,936.0,2,43.0,2,245
3368,others,1280.0,2,75.0,2,245
3369,Babusapalaya,1050.0,2,45.0,2,28
3370,Marathahalli,1350.0,2,86.0,2,170
3371,Devanahalli,1174.0,2,59.0,2,70
3372,Hosur Road,1890.0,3,162.0,3,111
3373,others,735.0,1,75.0,1,245
3374,others,500.0,1,24.0,1,245
3375,Gottigere,1304.0,3,80.0,3,88
3376,Yelahanka,1653.0,3,120.0,3,241
3377,Bisuvanahalli,1075.0,2,52.0,3,50
3378,7th Phase JP Nagar,1212.0,3,42.0,2,8
3379,others,1100.0,2,50.0,2,245
3380,Billekahalli,1140.0,2,50.0,2,48
3381,others,1200.0,2,100.0,2,245
3382,Kudlu Gate,1532.0,3,83.0,3,157
3383,Doddaballapur,2776.0,4,195.0,3,72
3384,Padmanabhanagar,1531.0,2,75.0,3,190
3385,Uttarahalli,1325.0,2,53.0,2,230
3386,Electronic City,1156.0,2,44.0,3,79
3387,Bannerghatta Road,1260.0,2,70.0,2,38
3388,Vittasandra,1934.0,2,90.0,2,238
3389,Malleshpalya,1060.0,2,40.0,2,168
3390,Kasavanhalli,1476.0,3,95.0,3,139
3391,Murugeshpalya,1185.0,2,85.0,2,175
3392,others,1265.0,2,82.0,3,245
3393,others,3200.0,5,150.0,4,245
3394,others,1196.0,2,56.81,2,245
3395,EPIP Zone,1280.0,2,69.0,2,78
3396,Hulimavu,1175.0,2,45.0,2,112
3397,others,1850.0,3,98.0,3,245
3398,Whitefield,1195.0,2,70.0,2,239
3399,Ulsoor,2000.0,3,185.0,3,229
3400,Hosur Road,1180.0,2,36.5,2,111
3401,Jakkur,1050.0,2,49.87,2,118
3402,Electronic City,1400.0,2,40.44,3,79
3403,others,2360.0,4,150.0,4,245
3404,others,1030.0,2,77.25,2,245
3405,others,1512.0,1,65.01,2,245
3406,Subramanyapura,929.0,2,48.0,2,219
3407,Jigani,1252.0,3,61.0,3,121
3408,Green Glen Layout,1485.0,3,115.0,3,89
3409,Electronics City Phase 1,1124.0,2,55.0,3,81
3410,Indira Nagar,1407.0,3,120.0,3,116
3411,Hennur Road,1482.0,2,97.0,3,103
3412,Jalahalli,1570.0,3,140.0,3,119
3413,Whitefield,3480.0,4,284.0,3,239
3414,Chandapura,520.0,1,14.04,1,59
3415,others,2000.0,3,160.0,3,245
3416,Prithvi Layout,1352.0,2,75.0,2,195
3417,Electronic City,1152.0,2,65.0,2,79
3418,others,1575.0,3,93.0,3,245
3419,Hegde Nagar,1965.0,4,125.0,3,101
3420,others,1300.0,2,70.0,3,245
3421,Marathahalli,957.0,2,47.0,2,170
3422,Hoskote,1740.0,3,60.0,3,110
3423,Neeladri Nagar,1060.0,2,35.0,2,185
3424,others,975.0,2,50.0,2,245
3425,Ramamurthy Nagar,1150.0,2,51.0,2,202
3426,Whitefield,1738.0,2,79.0,3,239
3427,Bommanahalli,1250.0,3,55.0,3,51
3428,Bannerghatta Road,1788.0,3,90.0,3,38
3429,Kanakapura,1151.0,2,59.0,2,135
3430,Uttarahalli,1300.0,2,60.0,3,230
3431,others,1380.0,2,75.0,2,245
3432,Hebbal,1645.0,3,117.0,3,99
3433,Babusapalaya,1141.0,2,45.9,2,28
3434,7th Phase JP Nagar,1175.0,2,82.5,2,8
3435,Banashankari Stage V,1355.0,2,61.0,3,33
3436,Dasarahalli,1150.0,2,70.0,2,69
3437,others,5800.0,5,80.0,5,245
3438,others,1000.0,2,45.0,2,245
3439,Balagere,1007.0,2,65.0,2,29
3440,others,3000.0,5,100.0,4,245
3441,Kothanur,1436.0,3,70.0,3,155
3442,Somasundara Palya,2372.0,3,140.0,3,216
3443,BTM Layout,1576.0,3,10.0,3,27
3444,Rayasandra,1016.0,2,58.0,2,203
3445,Dodda Nekkundi,1100.0,2,48.0,2,71
3446,others,1080.0,2,45.0,2,245
3447,Electronic City,1070.0,2,60.0,2,79
3448,Kadubeesanahalli,1532.0,3,115.0,3,124
3449,Hennur,1040.0,2,42.12,2,102
3450,others,3100.0,3,250.0,3,245
3451,Tumkur Road,1137.5,2,48.905,2,228
3452,Thanisandra,1430.0,2,51.6,3,223
3453,ITPL,3262.0,5,205.0,4,114
3454,others,1190.0,2,100.0,2,245
3455,others,1827.0,3,100.0,3,245
3456,HRBR Layout,1210.0,2,75.0,2,95
3457,others,1500.0,3,95.0,3,245
3458,Hebbal,1251.0,2,88.73,2,99
3459,HSR Layout,1600.0,2,115.0,3,96
3460,Electronic City,1128.0,2,65.5,2,79
3461,Budigere,1820.0,3,93.0,3,56
3462,Thigalarapalya,2072.0,4,159.0,3,224
3463,Raja Rajeshwari Nagar,1510.0,2,59.0,3,198
3464,Hoodi,1925.0,2,114.0,3,104
3465,Hennur Road,2651.0,2,225.0,3,103
3466,Thigalarapalya,2072.0,4,147.0,3,224
3467,Kumaraswami Layout,1000.0,2,36.0,2,158
3468,KR Puram,1752.0,3,145.0,3,123
3469,Sahakara Nagar,960.0,2,56.0,2,204
3470,others,1180.0,2,63.0,2,245
3471,Benson Town,2270.0,3,180.0,3,45
3472,NRI Layout,650.0,2,59.0,2,178
3473,Lakshminarayana Pura,1200.0,2,75.0,2,162
3474,Bisuvanahalli,1180.0,2,46.0,3,50
3475,others,1300.0,3,47.0,3,245
3476,Bannerghatta Road,1157.0,2,40.0,2,38
3477,Kanakpura Road,1300.0,3,69.0,3,136
3478,Banashankari Stage III,1305.0,2,59.0,3,32
3479,Hegde Nagar,2006.0,4,196.0,3,101
3480,Jakkur,1290.0,2,80.0,2,118
3481,Hoskote,1170.0,2,45.0,2,110
3482,Yelachenahalli,1400.0,2,78.0,2,240
3483,others,1155.0,2,60.0,3,245
3484,Hormavu,1725.0,3,85.0,3,107
3485,Kanakpura Road,700.0,2,40.0,2,136
3486,Hoodi,1112.0,2,88.0,2,104
3487,Somasundara Palya,1178.0,2,78.0,2,216
3488,others,1274.0,2,81.0,2,245
3489,Doddathoguru,915.0,2,32.0,2,74
3490,Hosur Road,760.0,1,21.28,1,111
3491,others,1540.0,3,68.0,3,245
3492,others,1206.0,2,38.5,2,245
3493,Nehru Nagar,2342.0,3,115.0,4,186
3494,others,1200.0,2,55.0,3,245
3495,Yelenahalli,1056.0,2,33.0,2,243
3496,Kanakpura Road,1450.0,3,54.3,3,136
3497,others,1161.0,2,36.69,2,245
3498,others,1097.0,2,65.0,2,245
3499,Uttarahalli,850.0,2,35.0,2,230
3500,Green Glen Layout,1715.0,3,115.0,3,89
3501,Electronic City,1200.0,2,59.0,2,79
3502,8th Phase JP Nagar,1080.0,2,38.0,2,9
3503,Kasavanhalli,1200.0,2,50.3,2,139
3504,Banashankari,1400.0,2,78.0,3,30
3505,Kanakpura Road,458.0,1,19.695,1,136
3506,Marathahalli,1230.0,2,57.0,2,170
3507,Kalyan nagar,1640.0,3,88.0,3,131
3508,Banashankari,1700.0,3,125.0,3,30
3509,Bommasandra,1478.0,2,44.0,3,52
3510,Banashankari,1020.0,2,40.79,2,30
3511,Yelahanka,1275.0,2,95.0,3,241
3512,others,1600.0,3,165.0,4,245
3513,Kanakapura,1110.0,2,38.85,2,135
3514,Uttarahalli,1627.86,3,88.0,3,230
3515,others,620.0,2,22.0,2,245
3516,Whitefield,3004.0,4,285.0,4,239
3517,Hosa Road,1133.0,2,52.0,2,108
3518,Hennur Road,1182.0,2,82.5,2,103
3519,Tumkur Road,1500.0,3,100.0,3,228
3520,Hebbal Kempapura,3900.0,5,360.0,4,100
3521,Marathahalli,1200.0,2,58.0,2,170
3522,Raja Rajeshwari Nagar,1128.0,2,48.79,2,198
3523,Amruthahalli,1100.0,2,45.0,2,16
3524,Kengeri Satellite Town,635.0,1,22.0,2,145
3525,Ardendale,2062.0,3,140.0,4,21
3526,Thanisandra,1874.0,4,130.0,3,223
3527,Old Madras Road,1171.0,2,75.0,2,189
3528,Sarjapur,2020.0,3,85.0,3,207
3529,8th Phase JP Nagar,1059.0,2,34.5,2,9
3530,Panathur,1315.0,2,59.1,3,192
3531,Jakkur,1760.0,3,110.0,3,118
3532,others,1200.0,2,125.0,2,245
3533,Hennur Road,1192.0,2,62.0,3,103
3534,Hebbal,1645.0,3,121.0,3,99
3535,Whitefield,1250.0,2,72.0,2,239
3536,Whitefield,709.0,1,34.385,1,239
3537,Whitefield,1340.0,2,77.0,2,239
3538,Cooke Town,2388.0,4,239.0,3,65
3539,Hosa Road,1369.1,2,104.0,2,108
3540,others,1355.0,2,75.0,2,245
3541,Bannerghatta Road,1150.0,2,65.0,2,38
3542,Kanakapura,1938.0,3,113.0,3,135
3543,Begur Road,2462.0,4,124.0,4,43
3544,Budigere,1636.0,3,85.0,3,56
3545,Akshaya Nagar,1430.0,2,75.0,3,13
3546,others,2000.0,3,85.0,3,245
3547,Electronic City Phase II,993.0,2,50.0,3,80
3548,Kanakpura Road,1700.0,3,88.0,3,136
3549,Yelahanka,1270.0,2,78.0,2,241
3550,Anjanapura,1500.0,3,121.0,3,20
3551,Marathahalli,1650.0,3,86.45,3,170
3552,Panathur,1109.0,2,63.0,2,192
3553,others,1280.0,2,49.75,2,245
3554,Sarjapur,2885.0,3,185.0,4,207
3555,Kothanur,1462.0,3,71.0,3,155
3556,Marathahalli,607.0,1,35.0,1,170
3557,Kammasandra,930.0,2,25.0,2,134
3558,Varthur,4500.0,5,300.0,4,231
3559,Malleshwaram,2600.0,3,237.0,3,169
3560,JP Nagar,3000.0,4,140.0,4,117
3561,Electronic City Phase II,1418.0,3,52.47,3,80
3562,others,4200.0,1,160.0,2,245
3563,EPIP Zone,1125.0,2,65.0,2,78
3564,CV Raman Nagar,1825.0,3,126.0,3,57
3565,Whitefield,1320.0,2,79.5,2,239
3566,JP Nagar,3000.0,4,140.0,4,117
3567,Whitefield,750.0,2,52.7,2,239
3568,Yelahanka,1400.0,2,80.54,3,241
3569,others,4104.0,4,360.0,4,245
3570,Rajaji Nagar,5000.0,4,375.0,4,199
3571,Mahadevpura,3295.0,4,260.0,5,165
3572,Whitefield,1200.0,3,61.96,3,239
3573,Poorna Pragna Layout,965.0,2,48.0,2,194
3574,KR Puram,1100.0,2,43.0,2,123
3575,Whitefield,1180.0,2,41.0,2,239
3576,HSR Layout,1145.0,2,48.0,2,96
3577,others,1215.0,2,49.85,2,245
3578,Hegde Nagar,1200.0,2,75.0,2,101
3579,Kenchenahalli,1015.0,2,58.0,2,143
3580,Kaggalipura,2400.0,3,165.0,3,127
3581,Whitefield,3000.0,4,306.0,4,239
3582,7th Phase JP Nagar,3300.0,4,160.0,3,8
3583,others,1076.0,2,52.0,2,245
3584,JP Nagar,1300.0,2,109.0,2,117
3585,Hebbal Kempapura,1300.0,2,102.0,2,100
3586,Hosa Road,1512.0,3,123.0,3,108
3587,Bhoganhalli,1053.4,3,88.91,3,47
3588,Yeshwanthpur,605.0,1,41.745,1,244
3589,Hormavu,1153.0,2,65.0,2,107
3590,others,2080.0,2,150.0,2,245
3591,Hulimavu,1255.0,2,69.0,2,112
3592,Marathahalli,1583.0,3,109.0,3,170
3593,others,1505.0,2,90.0,2,245
3594,Kathriguppe,1365.0,2,75.08,3,141
3595,others,1200.0,3,95.75,3,245
3596,others,1810.0,4,148.0,3,245
3597,Magadi Road,440.0,1,35.0,1,164
3598,Subramanyapura,975.0,2,63.0,2,219
3599,others,1250.0,2,39.0,2,245
3600,others,1530.0,2,97.0,3,245
3601,Kereguddadahalli,1300.0,2,39.0,3,146
3602,Channasandra,1115.0,2,40.0,2,60
3603,Sarjapur  Road,1308.0,2,83.0,2,208
3604,Uttarahalli,1490.0,2,59.6,3,230
3605,Bannerghatta Road,10000.0,4,450.0,4,38
3606,Sarjapur  Road,1592.0,3,91.0,3,208
3607,Rajaji Nagar,1222.0,2,112.0,2,199
3608,Raja Rajeshwari Nagar,1267.0,2,42.85,2,198
3609,Balagere,656.0,1,53.0,1,29
3610,Garudachar Palya,4500.0,5,400.0,4,85
3611,Chandapura,1200.0,1,36.0,2,59
3612,Thanisandra,1698.0,3,102.0,3,223
3613,others,1500.0,3,70.0,3,245
3614,others,2000.0,5,80.0,4,245
3615,Electronic City,1152.0,2,65.75,2,79
3616,Raja Rajeshwari Nagar,550.0,1,21.0,1,198
3617,Pattandur Agrahara,900.0,2,42.0,2,193
3618,others,1410.0,2,45.12,3,245
3619,Akshaya Nagar,1419.0,2,73.0,3,13
3620,AECS Layout,1800.0,3,65.0,3,11
3621,Gottigere,990.0,2,40.0,2,88
3622,Sarjapur  Road,1016.0,2,45.0,2,208
3623,Bannerghatta Road,1100.0,2,39.0,2,38
3624,Whitefield,1095.0,2,35.0,2,239
3625,others,2000.0,3,85.0,3,245
3626,Budigere,1444.0,2,70.0,2,56
3627,Whitefield,1415.0,2,67.0,2,239
3628,others,1500.0,2,130.0,3,245
3629,others,1600.0,3,72.0,3,245
3630,Whitefield,1105.0,2,41.36,2,239
3631,Electronic City,1225.0,3,45.03,3,79
3632,Frazer Town,2560.0,3,265.0,3,82
3633,Talaghattapura,1856.0,3,135.0,3,222
3634,others,2100.0,6,71.0,6,245
3635,Sarjapur  Road,1150.0,2,77.0,2,208
3636,Whitefield,2094.0,2,113.19,3,239
3637,5th Phase JP Nagar,1485.0,2,67.0,3,6
3638,others,2500.0,3,75.0,3,245
3639,Whitefield,1200.0,2,45.0,2,239
3640,Hennur Road,1036.0,2,59.46,2,103
3641,Whitefield,3445.0,5,270.0,4,239
3642,Dodsworth Layout,1400.0,2,80.0,2,75
3643,Bommanahalli,1110.0,2,33.0,2,51
3644,Kodichikkanahalli,1150.0,2,48.0,2,147
3645,Kenchenahalli,715.0,1,45.0,1,143
3646,Magadi Road,1200.0,4,130.0,4,164
3647,Jakkur,2283.0,4,130.0,4,118
3648,Hormavu,1453.0,2,43.58,3,107
3649,Nagarbhavi,1400.0,2,85.0,3,181
3650,Padmanabhanagar,1400.0,3,65.0,3,190
3651,Whitefield,1700.0,3,140.0,3,239
3652,Kanakpura Road,1591.0,3,120.0,3,136
3653,Nagarbhavi,1515.0,2,79.0,3,181
3654,Marathahalli,2500.0,3,200.0,5,170
3655,Chandapura,975.0,2,24.86,2,59
3656,Yeshwanthpur,1382.0,2,76.18,3,244
3657,others,1533.0,3,150.0,3,245
3658,others,1100.0,2,38.0,2,245
3659,Banashankari Stage II,1500.0,2,120.0,3,31
3660,Yelahanka,1391.0,2,64.5,3,241
3661,Begur Road,1160.0,2,42.92,2,43
3662,Chandapura,620.0,1,27.0,1,59
3663,Whitefield,4827.0,4,400.0,4,239
3664,Kanakpura Road,1482.0,3,60.98,3,136
3665,Whitefield,1405.0,2,84.5,2,239
3666,Gunjur,1190.0,2,40.0,2,91
3667,Harlur,1174.0,2,78.0,2,98
3668,Seegehalli,1155.0,2,72.0,2,212
3669,Thanisandra,1411.0,3,93.04,3,223
3670,others,745.0,2,50.0,2,245
3671,Kereguddadahalli,1000.0,2,30.0,2,146
3672,Jigani,923.0,2,50.0,2,121
